Algorithm,Density,Rank,Rank_M,Shape,Num_iterations,Relative_error,Time,Data,RMSE
ASD,0.1,10,10,"(512, 512)",1682,9.71262627191e-05,9.282826900482178,boat.png,5.197355448652118e-05
ASD,0.2,10,10,"(512, 512)",774,9.82682977674e-05,3.9180924892425537,boat.png,5.25169759499559e-05
ASD,0.30000000000000004,10,10,"(512, 512)",402,8.62788512436e-05,2.179155111312866,boat.png,4.614791915774367e-05
ASD,0.4,10,10,"(512, 512)",536,6.12630241174e-05,2.82851243019104,boat.png,3.2819483261606756e-05
ASD,0.5,10,10,"(512, 512)",467,9.74509107454e-05,2.494765043258667,boat.png,5.2160578340900996e-05
ASD,0.6000000000000001,10,10,"(512, 512)",593,9.90905239489e-05,3.2598230838775635,boat.png,5.3035840216692516e-05
ASD,0.7000000000000001,10,10,"(512, 512)",547,9.9807202996e-05,2.8215882778167725,boat.png,5.339445196924959e-05
ASD,0.8,10,10,"(512, 512)",346,7.29643699837e-05,1.8357977867126465,boat.png,3.905476257029664e-05
ASD,0.1,25,25,"(512, 512)",10000,0.00443049452633,53.60319972038269,boat.png,0.002386198325873885
ASD,0.2,25,25,"(512, 512)",4243,9.99806439162e-05,29.82686996459961,boat.png,5.382611403717182e-05
ASD,0.30000000000000004,25,25,"(512, 512)",2318,9.29820437877e-05,15.798489570617676,boat.png,4.994958693470326e-05
ASD,0.4,25,25,"(512, 512)",1696,8.44667998689e-05,11.736448287963867,boat.png,4.5428791185475296e-05
ASD,0.5,25,25,"(512, 512)",1103,9.96212969822e-05,7.70012640953064,boat.png,5.361804480765236e-05
ASD,0.6000000000000001,25,25,"(512, 512)",1399,9.50588107024e-05,10.172828435897827,boat.png,5.1144697260659296e-05
ASD,0.7000000000000001,25,25,"(512, 512)",1050,8.85789151162e-05,7.294255018234253,boat.png,4.762879075789495e-05
ASD,0.8,25,25,"(512, 512)",1187,6.28813807424e-05,8.445995569229126,boat.png,3.383871560178814e-05
ASD,0.1,50,50,"(512, 512)",363,9.93585313806e-05,3.081648826599121,boat.png,5.356701438392842e-05
ASD,0.2,50,50,"(512, 512)",10000,0.00575712520232,79.63763761520386,boat.png,0.0031093704780560893
ASD,0.30000000000000004,50,50,"(512, 512)",10000,0.00031043149164,79.70845341682434,boat.png,0.00016760596771225178
ASD,0.4,50,50,"(512, 512)",6004,9.95603760162e-05,47.67052602767944,boat.png,5.372612734515996e-05
ASD,0.5,50,50,"(512, 512)",3750,9.92532548923e-05,29.876994609832764,boat.png,5.353472302920411e-05
ASD,0.6000000000000001,50,50,"(512, 512)",2650,9.1357323019e-05,21.09307026863098,boat.png,4.9276171739879303e-05
ASD,0.7000000000000001,50,50,"(512, 512)",3169,9.03987456028e-05,24.664206504821777,boat.png,4.877708439436367e-05
ASD,0.8,50,50,"(512, 512)",2528,6.94114760765e-05,20.22160053253174,boat.png,3.743735158593754e-05
ASD,0.1,100,100,"(512, 512)",50,9.36835779028e-05,0.5836474895477295,boat.png,5.045160061261332e-05
ASD,0.2,100,100,"(512, 512)",403,9.94779612176e-05,4.354126214981079,boat.png,5.3724017142477355e-05
ASD,0.30000000000000004,100,100,"(512, 512)",6870,9.99327661993e-05,67.83900928497314,boat.png,5.401078760869901e-05
