Method,Number_of_neighbors,Train_percentage,Test_percentage,Error_measure,Error_value,Time
"User based, Pearson Correlation",2,70,10,MAE,2.71501983329605,348.46542596817017
"User based, Pearson Correlation",2,70,10,RMSE,3.1557317807318137,348.46542596817017
"User based, Pearson Correlation",2,70,10,Zero-one,0.08162023441013837,348.46542596817017
"User based, Cosine",2,70,10,MAE,2.671951545381669,283.10493779182434
"User based, Cosine",2,70,10,RMSE,3.188407008771795,283.10493779182434
"User based, Cosine",2,70,10,Zero-one,0.08619731724740058,283.10493779182434
Global mean,2,70,10,MAE,0.8950293429289276,283.10493779182434
Global mean,2,70,10,RMSE,1.0719402806710836,283.10493779182434
User mean,2,70,10,MAE,nan,283.10493779182434
User mean,2,70,10,RMSE,nan,283.10493779182434
"Item based, Pearson Correlation",2,70,10,MAE,3.421617529170749,52.95124793052673
"Item based, Pearson Correlation",2,70,10,RMSE,3.663725807258541,52.95124793052673
"Item based, Pearson Correlation",2,70,10,Zero-one,0.09267696693562756,52.95124793052673
"Item based, Cosine",2,70,10,MAE,3.48089427273537,42.308839321136475
"Item based, Cosine",2,70,10,RMSE,3.7033070279016154,42.308839321136475
"Item based, Cosine",2,70,10,Zero-one,0.079975564436073,42.308839321136475
Item mean,2,70,10,MAE,nan,42.308839321136475
Item mean,2,70,10,RMSE,nan,42.308839321136475
