Method,Similarity_measure,Number_of_neighbors,Train_percentage,Test_percentage,Error_measure,Error_value,Time
User_based,mean_prediction,,30,10,RMSE,1.0729954521881864,0.21851396560668945
User_based,mean_prediction,,30,10,MAE,0.8961550806936641,0.21851396560668945
User_based,row_mean_prediction,,30,10,RMSE,1.3009496424299123,0.29614782333374023
User_based,row_mean_prediction,,30,10,MAE,0.915181208423128,0.29614782333374023
User_based,mean_prediction,,30,20,RMSE,1.0732959892992053,0.22925639152526855
User_based,mean_prediction,,30,20,MAE,0.8954049418954803,0.22925639152526855
User_based,row_mean_prediction,,30,20,RMSE,1.238658546322748,0.2982778549194336
User_based,row_mean_prediction,,30,20,MAE,0.8830936859500144,0.2982778549194336
User_based,mean_prediction,,30,30,RMSE,1.0676421003168108,0.2326798439025879
User_based,mean_prediction,,30,30,MAE,0.8915539576057756,0.2326798439025879
User_based,row_mean_prediction,,30,30,RMSE,1.2613408883187824,0.3120112419128418
User_based,row_mean_prediction,,30,30,MAE,0.8975982258098598,0.3120112419128418
User_based,mean_prediction,,30,50,RMSE,1.0744424051720585,0.2356276512145996
User_based,mean_prediction,,30,50,MAE,0.8962004050563045,0.2356276512145996
User_based,row_mean_prediction,,30,50,RMSE,1.2594739435983786,0.3084549903869629
User_based,row_mean_prediction,,30,50,MAE,0.8960411117537597,0.3084549903869629
User_based,mean_prediction,,50,10,RMSE,1.0687726620521196,0.23792338371276855
User_based,mean_prediction,,50,10,MAE,0.890530831679282,0.23792338371276855
User_based,row_mean_prediction,,50,10,RMSE,1.0841465135792518,0.3056354522705078
User_based,row_mean_prediction,,50,10,MAE,0.7979176282335373,0.3056354522705078
User_based,mean_prediction,,50,20,RMSE,1.0716667622354872,0.23931193351745605
User_based,mean_prediction,,50,20,MAE,0.892814415293619,0.23931193351745605
User_based,row_mean_prediction,,50,20,RMSE,1.0660494119834858,0.3113372325897217
User_based,row_mean_prediction,,50,20,MAE,0.7946978311341976,0.3113372325897217
User_based,mean_prediction,,50,30,RMSE,1.0777653417441744,0.24102091789245605
User_based,mean_prediction,,50,30,MAE,0.9018179382476472,0.24102091789245605
User_based,row_mean_prediction,,50,30,RMSE,1.085871706106772,0.30304598808288574
User_based,row_mean_prediction,,50,30,MAE,0.8074576492372952,0.30304598808288574
User_based,mean_prediction,,50,50,RMSE,1.0697235469659148,0.23582887649536133
User_based,mean_prediction,,50,50,MAE,0.8922267891965586,0.23582887649536133
User_based,row_mean_prediction,,50,50,RMSE,1.0740536138760235,0.3060441017150879
User_based,row_mean_prediction,,50,50,MAE,0.7992741688776617,0.3060441017150879
User_based,mean_prediction,,70,10,RMSE,1.064632883484593,0.24480295181274414
User_based,mean_prediction,,70,10,MAE,0.8868827153042382,0.24480295181274414
User_based,row_mean_prediction,,70,10,RMSE,0.9801737135654481,0.2998666763305664
User_based,row_mean_prediction,,70,10,MAE,0.7549795176332936,0.2998666763305664
User_based,mean_prediction,,70,20,RMSE,1.0736889865495165,0.2408297061920166
User_based,mean_prediction,,70,20,MAE,0.8963961814148214,0.2408297061920166
User_based,row_mean_prediction,,70,20,RMSE,0.9922490095498486,0.29888415336608887
User_based,row_mean_prediction,,70,20,MAE,0.7621558457931771,0.29888415336608887
User_based,mean_prediction,,70,30,RMSE,1.0688888357370157,0.22972440719604492
User_based,mean_prediction,,70,30,MAE,0.8910584503175073,0.22972440719604492
