Algorithm,Density,Rank,Shape,Num_iterations,Relative_error,Time
sASD,0.1,25,"(512, 512)",99999,0.00324316777576,532.9657936096191
sASD,0.2,25,"(512, 512)",514,9.90543097185e-05,3.0490708351135254
sASD,0.30000000000000004,25,"(512, 512)",83,9.70079414143e-05,0.6726222038269043
sASD,0.4,25,"(512, 512)",31,8.89950975927e-05,0.2736043930053711
sASD,0.5,25,"(512, 512)",19,9.45020345253e-05,0.2028520107269287
sASD,0.6000000000000001,25,"(512, 512)",11,7.04892364816e-05,0.1475512981414795
sASD,0.7000000000000001,25,"(512, 512)",7,9.55668165316e-05,0.1350877285003662
sASD,0.8,25,"(512, 512)",7,7.252524579e-05,0.12349414825439453
sASD,0.1,50,"(512, 512)",60,9.99782065209e-05,0.5063610076904297
sASD,0.2,50,"(512, 512)",99999,0.0044560602493,627.0288681983948
sASD,0.30000000000000004,50,"(512, 512)",754,9.93619551625e-05,4.691573858261108
sASD,0.4,50,"(512, 512)",118,9.93308295895e-05,0.7106409072875977
sASD,0.5,50,"(512, 512)",47,9.80806378126e-05,0.32827162742614746
sASD,0.6000000000000001,50,"(512, 512)",20,9.07048455153e-05,0.19072771072387695
sASD,0.7000000000000001,50,"(512, 512)",14,8.36841028434e-05,0.16156959533691406
sASD,0.8,50,"(512, 512)",10,7.66224701785e-05,0.1327807903289795
sASD,0.1,100,"(512, 512)",19,7.68578322721e-05,0.24119329452514648
sASD,0.2,100,"(512, 512)",56,9.87586339666e-05,0.5179774761199951
sASD,0.30000000000000004,100,"(512, 512)",495,9.96799091213e-05,4.508417367935181
sASD,0.4,100,"(512, 512)",99999,0.0062685030321,853.0739033222198
sASD,0.5,100,"(512, 512)",842,9.7813063561e-05,8.005153179168701
sASD,0.6000000000000001,100,"(512, 512)",135,9.88068605852e-05,1.3101091384887695
sASD,0.7000000000000001,100,"(512, 512)",52,9.6037138506e-05,0.5494215488433838
sASD,0.8,100,"(512, 512)",25,9.46959060086e-05,0.3171367645263672
sASD,0.1,150,"(512, 512)",11,9.02324177166e-05,0.22786760330200195
sASD,0.2,150,"(512, 512)",21,7.94117879937e-05,0.36132264137268066
sASD,0.30000000000000004,150,"(512, 512)",47,9.71582642262e-05,0.6738793849945068
sASD,0.4,150,"(512, 512)",221,9.88839674127e-05,2.8997962474823
sASD,0.5,150,"(512, 512)",79814,9.99999705427e-05,992.1252748966217
sASD,0.6000000000000001,150,"(512, 512)",99999,0.00593100249723,1299.959083557129
sASD,0.7000000000000001,150,"(512, 512)",621,9.50476318522e-05,7.570835113525391
sASD,0.8,150,"(512, 512)",74,9.78833794828e-05,1.0343759059906006
sASD,0.1,250,"(512, 512)",6,4.91164242699e-05,0.2298421859741211
sASD,0.2,250,"(512, 512)",9,5.75845135787e-05,0.2802860736846924
sASD,0.30000000000000004,250,"(512, 512)",13,7.21618828939e-05,0.3595290184020996
sASD,0.4,250,"(512, 512)",22,8.18731155712e-05,0.543259859085083
sASD,0.5,250,"(512, 512)",42,9.34373680798e-05,0.9058072566986084
sASD,0.6000000000000001,250,"(512, 512)",121,9.8717878643e-05,2.5036840438842773
sASD,0.7000000000000001,250,"(512, 512)",1297,9.99178016235e-05,25.141531229019165
sASD,0.8,250,"(512, 512)",99999,0.00336890729875,1904.4122052192688
