Algorithm,Density,Real_rank,Best_rank,Num_eval,Shape,Train_error,Test_error,Full_error,Relative_error,Time,Data
sASD,0.4,104,37,14,"(512, 512)",0.0250262306244,0.0348692237582,0.0504050384159,0.0250262306244,1841.4353470802307,pexels-photo-685526.jpeg
sASD,0.5,104,62,10,"(512, 512)",0.011803647634,0.038714605374,0.0624589014562,0.011803647634,1631.6672005653381,pexels-photo-685526.jpeg
sASD,0.6,104,86,12,"(512, 512)",0.006115401856,0.0173085836001,0.0390886511721,0.006115401856,2436.004266023636,pexels-photo-685526.jpeg
sASD,0.7,104,115,3,"(512, 512)",0.000999948165703,0.0611646728074,0.0985751847812,0.000999948165703,453.47454476356506,pexels-photo-685526.jpeg
sASD,0.4,170,37,14,"(512, 512)",0.0266917190759,0.0368525286022,0.0540832888644,0.0266917190759,1912.2159848213196,pexels-photo-685526.jpeg
sASD,0.5,170,122,14,"(512, 512)",0.000999749094992,0.271835911697,0.468879389338,0.000999749094992,371.2878158092499,pexels-photo-685526.jpeg
sASD,0.6,170,88,11,"(512, 512)",0.0089311314686,0.0556144042013,0.091568201445,0.0089311314686,2166.6821553707123,pexels-photo-685526.jpeg
sASD,0.7,170,84,9,"(512, 512)",0.0119830461932,0.0203703790358,0.0271047658385,0.0119830461932,1853.9791951179504,pexels-photo-685526.jpeg
sASD,0.4,122,94,7,"(512, 512)",0.000999542760719,0.258053036786,0.479430351573,0.000999542760719,454.24100255966187,pexels-photo-685526.jpeg
sASD,0.5,122,115,3,"(512, 512)",0.000999915673642,0.259716757645,0.443228443353,0.000999915673642,204.6035966873169,pexels-photo-685526.jpeg
sASD,0.6,122,69,15,"(512, 512)",0.0124264945947,0.0225432672089,0.0441416011439,0.0124264945947,2649.375386953354,pexels-photo-685526.jpeg
sASD,0.7,122,115,3,"(512, 512)",0.00306210497945,0.0509005710865,0.0729727146077,0.00306210497945,638.3116438388824,pexels-photo-685526.jpeg
sASD,0.4,76,73,5,"(512, 512)",0.00644081714831,0.151790331946,0.266777708577,0.00644081714831,519.582436800003,pexels-photo-685526.jpeg
sASD,0.5,76,115,3,"(512, 512)",0.000999956098094,0.248789981094,0.436523527143,0.000999956098094,319.6113979816437,pexels-photo-685526.jpeg
sASD,0.6,76,94,7,"(512, 512)",0.00099994585401,0.0804879822705,0.126311667902,0.00099994585401,953.2537517547607,pexels-photo-685526.jpeg
sASD,0.7,76,76,15,"(512, 512)",0.00252508772117,0.00359250995969,0.00460373736609,0.00252508772117,770.019588470459,pexels-photo-685526.jpeg
sASD,0.4,146,52,8,"(512, 512)",0.0150997259625,0.0979767477046,0.12310813277,0.0150997259625,1000.5735263824463,pexels-photo-685526.jpeg
sASD,0.5,146,73,5,"(512, 512)",0.00994617060186,0.0653188254712,0.112648521242,0.00994617060186,685.6753287315369,pexels-photo-685526.jpeg
sASD,0.6,146,80,12,"(512, 512)",0.0100131787186,0.0361300761456,0.063731351864,0.0100131787186,2415.412401676178,pexels-photo-685526.jpeg
sASD,0.7,146,115,3,"(512, 512)",0.00485529795217,0.06170586761,0.0817262586413,0.00485529795217,634.5602118968964,pexels-photo-685526.jpeg
sASD,0.4,196,42,11,"(512, 512)",0.0226909430973,0.0380522949678,0.0590114350484,0.0226909430973,1378.1078660488129,pexels-photo-685526.jpeg
sASD,0.5,196,115,3,"(512, 512)",0.000999893878079,0.254864476694,0.443741827093,0.000999893878079,251.1995301246643,pexels-photo-685526.jpeg
sASD,0.6,196,94,7,"(512, 512)",0.00755286354105,0.071598727004,0.110597013691,0.00755286354105,1396.1451435089111,pexels-photo-685526.jpeg
