ID,Algorithm,Density,Real_rank,Best_rank,Num_eval,Shape,Train_error,Test_error,Full_error,Relative_error,Time,Data
1,sASD,0.3,181,67,13,"(512, 512)",0.000999902,0.254076846,0.479974826,0.000999902,263.1857345,pexels-photo-685526.jpeg
2,sASD,0.4,181,157,6,"(512, 512)",0.000967719,0.390194152,0.704371021,0.000967719,5.442895174,pexels-photo-685526.jpeg
3,sASD,0.5,181,139,14,"(512, 512)",0.000996087,0.309124339,0.52935982,0.000996087,148.8025746,pexels-photo-685526.jpeg
4,sASD,0.3,125,89,11,"(512, 512)",0.000992756,0.318856351,0.627384475,0.000992756,19.84451818,pexels-photo-685526.jpeg
5,sASD,0.4,125,94,7,"(512, 512)",0.000999745,0.264060647,0.483906462,0.000999745,122.5510936,pexels-photo-685526.jpeg
6,sASD,0.5,125,151,13,"(512, 512)",0.00099821,0.335870099,0.581441741,0.00099821,143.0093153,pexels-photo-685526.jpeg
7,sASD,0.3,87,178,9,"(512, 512)",0.000993808,0.410205931,0.818023552,0.000993808,3.131193399,pexels-photo-685526.jpeg
8,sASD,0.4,87,136,8,"(512, 512)",0.000986722,0.355307703,0.651588672,0.000986722,7.152094126,pexels-photo-685526.jpeg
9,sASD,0.5,87,178,9,"(512, 512)",0.000995192,0.370238419,0.648399328,0.000995192,133.4540575,pexels-photo-685526.jpeg
10,sASD,0.3,34,115,3,"(512, 512)",0.000973983,0.374794313,0.7215672,0.000973983,1.108636856,pexels-photo-685526.jpeg
11,sASD,0.4,34,58,12,"(512, 512)",0.000999924,0.085733338,0.159104182,0.000999924,147.4630663,pexels-photo-685526.jpeg
12,sASD,0.5,34,157,6,"(512, 512)",0.000985511,0.345412449,0.597844857,0.000985511,128.4727511,pexels-photo-685526.jpeg
13,sASD,0.3,43,115,3,"(512, 512)",0.000975262,0.371721498,0.719627127,0.000975262,1.157493353,pexels-photo-685526.jpeg
14,sASD,0.4,43,52,8,"(512, 512)",0.000999622,0.036776573,0.073058512,0.000999622,127.8920746,pexels-photo-685526.jpeg
15,sASD,0.5,43,188,12,"(512, 512)",0.000948012,0.382056442,0.662563694,0.000948012,138.1639025,pexels-photo-685526.jpeg
16,sASD,0.3,189,94,7,"(512, 512)",0.000990862,0.340204511,0.648831499,0.000990862,13.90332127,pexels-photo-685526.jpeg
17,sASD,0.4,189,115,3,"(512, 512)",0.000995762,0.30947956,0.58643098,0.000995762,4.045152187,pexels-photo-685526.jpeg
18,sASD,0.5,189,168,11,"(512, 512)",0.000961409,0.368133803,0.624416236,0.000961409,143.2387433,pexels-photo-685526.jpeg
19,sASD,0.3,49,69,15,"(512, 512)",0.000999593,0.253130308,0.492680758,0.000999593,288.0451777,pexels-photo-685526.jpeg
20,sASD,0.4,49,93,13,"(512, 512)",0.001176648,0.246729322,0.457283482,0.001176648,397.2007656,pexels-photo-685526.jpeg
21,sASD,0.5,49,168,11,"(512, 512)",0.000997279,0.361689632,0.622680179,0.000997279,126.1637692,pexels-photo-685526.jpeg
22,sASD,0.3,168,69,15,"(512, 512)",0.000999857,0.257935256,0.500393934,0.000999857,292.0537601,pexels-photo-685526.jpeg
23,sASD,0.4,168,94,7,"(512, 512)",0.000999733,0.266614906,0.482221905,0.000999733,122.2644842,pexels-photo-685526.jpeg
24,sASD,0.5,168,157,6,"(512, 512)",0.000987832,0.342353379,0.596653181,0.000987832,123.2139306,pexels-photo-685526.jpeg
25,sASD,0.3,169,115,3,"(512, 512)",0.000949018,0.384024478,0.724966571,0.000949018,1.078131676,pexels-photo-685526.jpeg
26,sASD,0.4,169,157,6,"(512, 512)",0.00095732,0.386666501,0.705963499,0.00095732,5.199638844,pexels-photo-685526.jpeg
27,sASD,0.5,169,157,6,"(512, 512)",0.00099622,0.340609833,0.595435466,0.00099622,125.0953996,pexels-photo-685526.jpeg
28,sASD,0.3,145,73,5,"(512, 512)",0.000999364,0.263080219,0.51470819,0.000999364,16.44599032,pexels-photo-685526.jpeg
29,sASD,0.4,145,115,3,"(512, 512)",0.000996313,0.323309916,0.58875692,0.000996313,3.913390398,pexels-photo-685526.jpeg
30,sASD,0.5,145,146,10,"(512, 512)",0.00099788,0.3247607,0.564507598,0.00099788,135.2091992,pexels-photo-685526.jpeg
31,sASD,0.3,88,73,5,"(512, 512)",0.000998401,0.260533781,0.515409904,0.000998401,16.40926194,pexels-photo-685526.jpeg
32,sASD,0.4,88,157,6,"(512, 512)",0.000950903,0.393312953,0.706111846,0.000950903,5.086734295,pexels-photo-685526.jpeg
33,sASD,0.5,88,157,6,"(512, 512)",0.000997031,0.355118112,0.60064868,0.000997031,122.4950776,pexels-photo-685526.jpeg
34,sASD,0.3,37,115,3,"(512, 512)",0.000958841,0.368002,0.723017015,0.000958841,1.107406139,pexels-photo-685526.jpeg
35,sASD,0.4,37,115,3,"(512, 512)",0.000991448,0.308869723,0.580878202,0.000991448,3.880233526,pexels-photo-685526.jpeg
36,sASD,0.5,37,142,12,"(512, 512)",0.00099399,0.31750819,0.550781377,0.00099399,147.8317862,pexels-photo-685526.jpeg
37,sASD,0.3,159,115,3,"(512, 512)",0.00097405,0.364219792,0.722896845,0.00097405,1.115731955,pexels-photo-685526.jpeg
38,sASD,0.4,159,115,3,"(512, 512)",0.00098469,0.325665743,0.589442812,0.00098469,3.635396242,pexels-photo-685526.jpeg
39,sASD,0.5,159,157,6,"(512, 512)",0.000991598,0.340925739,0.595890701,0.000991598,122.4992785,pexels-photo-685526.jpeg
40,sASD,0.3,189,188,12,"(512, 512)",0.000962025,0.430746471,0.825319549,0.000962025,4.061791182,pexels-photo-685526.jpeg
41,sASD,0.4,189,109,13,"(512, 512)",0.000994056,0.292881297,0.55704829,0.000994056,159.6781893,pexels-photo-685526.jpeg
42,sASD,0.5,189,174,14,"(512, 512)",0.000948254,0.368394763,0.641117756,0.000948254,134.5007977,pexels-photo-685526.jpeg
43,sASD,0.3,71,115,3,"(512, 512)",0.000976657,0.369465647,0.717999932,0.000976657,1.159108877,pexels-photo-685526.jpeg
44,sASD,0.4,71,115,3,"(512, 512)",0.000998816,0.324900487,0.585197975,0.000998816,3.804620981,pexels-photo-685526.jpeg
45,sASD,0.5,71,157,6,"(512, 512)",0.000974475,0.343743967,0.597841039,0.000974475,124.443598,pexels-photo-685526.jpeg
46,sASD,0.3,196,83,13,"(512, 512)",0.000991448,0.29863833,0.586361582,0.000991448,24.11512423,pexels-photo-685526.jpeg
47,sASD,0.4,196,115,3,"(512, 512)",0.000989083,0.319866939,0.583983353,0.000989083,4.012353659,pexels-photo-685526.jpeg
48,sASD,0.5,196,157,6,"(512, 512)",0.000997726,0.343044503,0.599836029,0.000997726,133.6861117,pexels-photo-685526.jpeg
49,sASD,0.3,157,115,3,"(512, 512)",0.00097314,0.372833428,0.722213734,0.00097314,1.136953592,pexels-photo-685526.jpeg
50,sASD,0.4,157,115,3,"(512, 512)",0.000997102,0.313347838,0.58709648,0.000997102,3.844513655,pexels-photo-685526.jpeg
51,sASD,0.5,157,178,9,"(512, 512)",0.000941538,0.373703952,0.649550067,0.000941538,128.1039417,pexels-photo-685526.jpeg
52,sASD,0.3,176,115,3,"(512, 512)",0.000936945,0.371013075,0.722212195,0.000936945,1.170887232,pexels-photo-685526.jpeg
53,sASD,0.4,176,100,12,"(512, 512)",0.000998707,0.273261997,0.515156261,0.000998707,151.6653783,pexels-photo-685526.jpeg
54,sASD,0.5,176,136,8,"(512, 512)",0.00099837,0.298643671,0.519735532,0.00099837,136.1901231,pexels-photo-685526.jpeg
55,sASD,0.3,121,90,12,"(512, 512)",0.000978524,0.325222079,0.629779753,0.000978524,18.42629194,pexels-photo-685526.jpeg
56,sASD,0.4,121,115,3,"(512, 512)",0.00098797,0.317228166,0.586114128,0.00098797,3.952865839,pexels-photo-685526.jpeg
57,sASD,0.5,121,141,12,"(512, 512)",0.000993889,0.31076958,0.542792886,0.000993889,139.2560902,pexels-photo-685526.jpeg
58,sASD,0.3,85,115,3,"(512, 512)",0.000997064,0.37186572,0.722574916,0.000997064,1.12560153,pexels-photo-685526.jpeg
59,sASD,0.4,85,93,13,"(512, 512)",0.000999942,0.255217054,0.464587539,0.000999942,407.924475,pexels-photo-685526.jpeg
60,sASD,0.5,85,141,12,"(512, 512)",0.000993234,0.315405216,0.53962573,0.000993234,144.2331612,pexels-photo-685526.jpeg
61,sASD,0.3,127,115,3,"(512, 512)",0.000959854,0.366255184,0.720550199,0.000959854,1.102174044,pexels-photo-685526.jpeg
62,sASD,0.4,127,93,13,"(512, 512)",0.000999957,0.245162228,0.465989002,0.000999957,382.4029508,pexels-photo-685526.jpeg
63,sASD,0.5,127,136,8,"(512, 512)",0.000996191,0.299614533,0.519251695,0.000996191,131.8754385,pexels-photo-685526.jpeg
64,sASD,0.3,176,94,7,"(512, 512)",0.000977874,0.330301883,0.649166241,0.000977874,13.09348369,pexels-photo-685526.jpeg
65,sASD,0.4,176,157,6,"(512, 512)",0.000964577,0.38338873,0.705925226,0.000964577,5.200465202,pexels-photo-685526.jpeg
66,sASD,0.5,176,131,13,"(512, 512)",0.000999703,0.286060383,0.505465043,0.000999703,165.1115053,pexels-photo-685526.jpeg
67,sASD,0.3,142,115,3,"(512, 512)",0.000997525,0.373378329,0.723464189,0.000997525,1.277483463,pexels-photo-685526.jpeg
68,sASD,0.4,142,93,13,"(512, 512)",0.000999902,0.251381042,0.466915029,0.000999902,374.8154418,pexels-photo-685526.jpeg
69,sASD,0.5,142,146,10,"(512, 512)",0.00099615,0.33028513,0.568598178,0.00099615,139.087877,pexels-photo-685526.jpeg
70,sASD,0.3,113,178,9,"(512, 512)",0.000992536,0.423362855,0.818906098,0.000992536,2.865440607,pexels-photo-685526.jpeg
71,sASD,0.4,113,93,13,"(512, 512)",0.000999904,0.254754321,0.462417151,0.000999904,398.6027925,pexels-photo-685526.jpeg
